Number,Tags,Sub-Objects,Pos Ratings,All Ratings,Word Count,Safe,Euclid,Keter,Thaumiel,Anomalous,Neutral,D-Class,Containment Breach,Addendum,Task Force,O5 Council,Agent,[EXPUNGED],[REDACTED],Blacked Out
2.0,alive euclid featured scp structure transfiguration,None,1832.0,2206.0,857.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
3.0,alive biological computer director-moose euclid featured k-class-scenario mind-affecting radioactive rewrite scp self-replicating telepathic thermal transfiguration,1 2,824.0,1056.0,1789.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
4.0,euclid mind-affecting portal scp spacetime structure temporal tool,1 2 7 12 13 14,1154.0,1340.0,1452.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
5.0,adaptive safe scp,None,710.0,1268.0,373.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,liquid location medical rewrite safe scp self-repairing,None,686.0,1212.0,491.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
7.0,alive euclid humanoid miniature planet scp,None,596.0,906.0,514.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.0,alive biohazard contagion euclid reanimation scp transfiguration,None,950.0,1516.0,542.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,euclid liquid scp self-replicating thermal,None,877.0,1029.0,1249.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
10.0,artifact compulsion electronic mind-affecting safe scp,2 8,203.0,611.0,555.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
11.0,autonomous humanoid military safe sapient scp sculpture,None,712.0,922.0,524.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
